,Asset List,,,,,,,,,
,Asset Name,Address,,CO/Acq. Date,Portfolio,Ownership,Tranche,Market,Management,Address_cont
,Lemon Grove,8016 Broadway,,9/27/22,,Clarion,,San Diego,Public Storage,"Lemon Grove, CA 91945"
,Venice,1810 Venice Blvd,,10/11/22,,Clarion,,Los Angeles,Extra Space,"Los Angeles, CA 90006"
,Austin Interstate,5656 N. Interstate 35,,2/7/23,,Clarion,,Austin,Extra Space,"Austin, TX 78751"
,Riverside 3rd St,3111 3rd St.,,2/7/23,,Clarion,,Los Angeles,Extra Space,"Santa Monica, CA 90405"
,Tucson,1782 W Ruthrauff Rd,,4/20/23,,Crow,,Tucscon,Extra Space,"Tucson, AZ 85705"
,South Pasadena,919 Mission St,,11/15/23,,Clarion,,Los Angeles,Extra Space,"South Pasadena, CA 91030"
,Stockton,1717 Sanguinetti,,11/10/23,,Crow,,Stockton,Public Storage,"Stockton, CA 95205"
,Mt. Pleasant,616 Johnnie Dodds,,12/5/23,,JP Morgan,,Charleston,Public Storage,"Mt Pleasant, SC 29464"
,Queen St,868 Queen St,,1/10/24,,Invesco,,Honolulu,Extra Space,"Honolulu, HI 96813"
,Mesquite,730 Military Pkwy,,2/6/24,,JP Morgan,,Dallas,Public Storage,"Mesquite, TX 75149"
,Folly Rd,1455 Folly Rd,,4/18/24,,Crow,,Charleston,Public Storage,"Charleston, SC 29412"
,Ft Worth Crowley Rd,6712 Crowley Rd,,6/13/24,,JP Morgan,,Fort Worth,Public Storage,"Fort Worth, TX 76134"
,Santa Monica,1674 20th St,,9/1/24,,Baranof,,Los Angeles,Trunk Space,"Santa Monica, CA 90404"
,Lucas,575 S Angel Pkwy,,10/30/24,,Clarion,,Dallas,Trunk Space,"Lucas, TX 75002"
,Oxnard,1401 Maulhardt Ave,,12/5/24,,Baranof,,Oxnard,Trunk Space,"Oxnard, CA 93030"
,Hilo,16-180 Mikahala Pl,,2/20/25,,JP Morgan,,Hawaii,Extra Space,"Keaau, HI 96749"
,Tulsa JPM,1254 E 3rd St,,5/29/25,SL IV,JP Morgan,,Tulsa,Extra Space,"Tulsa, OK 74120"
,South San Francisco,345 Shaw Rd,,6/18/25,SL V,JP Morgan,,San Francisco,Extra Space,"South San Francisco, CA 94080"
,Revere,320 Charger St,,6/26/25,SL V,JP Morgan,,Boston,Extra Space,"Revere, MA 02151"
,Charlotte JPM,8500 S. Tryon St,,10/7/25,SL V,JP Morgan,,Charlotte,Extra Space,"Charlotte, NC 28273"
,Aurora-Iliff,10601 E Illiff Ave,,11/1/23,Security,Clarion,,Denver,Cube Smart,"Aurora, CO 80014"
,Aurora-Buckley,4480 S Buckley,,11/1/23,Security,Clarion,,Denver,Public Storage,"Aurora, CO 80015"
,Denver-Holly,2025 S Holly St,,11/1/23,Security,Clarion,,Denver,Public Storage,"Denver, CO 80222"
,Denver-Pontiac,2078 S Pontiac Way,,11/1/23,Security,Clarion,,Denver,Public Storage,"Denver, CO 80224"
,Lakewood-Jewell,9750 W Jewell Ave,,11/1/23,Security,Clarion,,Denver,Public Storage,"Lakewood, CO 80232"
,Westminster-Pierce,9150 Pierce St,"Westminster, Colorado",11/1/23,Security,Clarion,,Denver,Public Storage,"Westminster, CO 80021"
,Co Springs-Austin Bluffs,3160 Austin Bluffs Pkwy,"Co Springs, Colorado",11/1/23,Security,Clarion,,Co Springs,Public Storage,"Colorado Springs, CO 80918"
,Co Springs-Broadmoor,121 E Old Broadmoor Rd,"Co Springs, Colorado",11/1/23,Security,Clarion,,Co Springs,Public Storage,"Colorado Springs, CO 80906"
,Co Springs-Pikes Peak,3760 E Pikes Peak Ave,"Co Springs, Colorado",11/1/23,Security,Clarion,,Co Springs,Public Storage,"Colorado Springs, CO 80909"
,Co Springs-Wood,3061 Wood Ave,"Co Springs, Colorado",11/1/23,Security,Clarion,,Co Springs,Public Storage,"Colorado Springs, CO 80907"
,Wichita-Maize,111 N Maize Rd,"Wichita, Kansas",11/1/23,Security,Clarion,,Wichita,Public Storage,"Wichita, KS 67212"
,Wichita-Hillside,405 S Hillside St,"Wichita, Kansas",11/1/23,Security,Clarion,,Wichita,Public Storage,"Wichita, KS 67211"
,Wichita-W 21st,8631 W 21st,"Wichita, Kansas",11/1/23,Security,Clarion,,Wichita,Public Storage,"Wichita, KS 67205"
,Lenexa-College,13300 College Blvd,"Lenexa, Kansas",11/1/23,Security,Clarion,,Wichita,Public Storage,"Lenexa, KS 66210"
,Dallas-Forest,9555 Forest Ln,"Dallas, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Dallas, TX 75243"
,Dallas-Skillman,6640 Skillman St,"Dallas, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Dallas, TX 75231"
,Dallas-Spring Valley,8600 Spring Valley Rd,"Dallas, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Dallas, TX 75240"
,Irving-Belt Line,3417 North Beltline Rd,"Irving, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Irving, TX 75062"
,Plano-West 15th,1919 W 15th St,"Plano, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Plano, TX 75075"
,Fort Worth-Hulen,2600 S Hulen St,"Fort Worth, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Fort Worth, TX 76109"
,Fort Worth-Sycamore,3030 Sycamore School Rd,"Fort Worth, Texas",11/1/23,Security,Clarion,,DFW,Public Storage,"Fort Worth, TX 76133"
,Austin-Lamar,10210 N Lamar Blvd,"Austin, Texas",11/1/23,Security,Clarion,,Austin ,Public Storage,"Austin, TX 78753"
,Austin-William Cannon,1507 W William Cannon Dr,"Austin, Texas",11/1/23,Security,Clarion,,Austin ,Public Storage,"Austin, TX 78745"
,San Antonio-Austin Hwy,1130 Austin Hwy,"San Antonio, Texas",11/1/23,Security,Clarion,,San Antonio,Public Storage,"San Antonio, TX 78209"
